video_id,title,published_at
znfKpNQ4huY,NASA Confirmed the Most Dangerous Asteroid Is Here,2025-10-16T00:14:29Z
fnzLXN9J5zo,Animals That Prove Nature Was Definitely Glitching,2025-10-16T00:01:01Z
SUFY8sBnSpQ,15 Optical Illusions That Will Trick Your Brain in Seconds,2025-10-15T22:00:43Z
h5CznvUrU1I,Astronomers Finally Explain the Strangest Objects in the Universe,2025-10-15T18:01:02Z
PlO1c14IwvA,Earth Is Hiding More Continents Than We Ever Knew,2025-10-15T14:02:24Z
DZupG496jK0,"If You See These Things Under the Ice, Don't Go Near",2025-10-15T12:02:44Z
GBMZDyQR0Tc,7 Finds in Antarctica That Rocked the Scientific World,2025-10-15T00:00:16Z
vSQaSBXYk_0,Sunken Ship Found in the Middle of a Cornfield - How Is That Possible?,2025-10-14T22:01:24Z
wwFgXrW8yqs,New Discovery Finally Reveals How the Pyramids Were Built,2025-10-14T18:18:41Z
HJ7W1npdGmE,Scientists Finally Know How Stonehenge Was Built,2025-10-14T18:00:29Z
u49mwGKCefw,This New Star Trek Tech Could Let Us Visit a Black Hole,2025-10-14T08:01:10Z
P5Kh4fsZ1XM,Mysterious Places You Can Never Visit - And You Really Shouldn’t,2025-10-14T00:00:28Z
0HlKXEuQNP8,Humanity’s Most Catastrophic Attempt to Drill Into the Earth,2025-10-13T22:00:01Z
sfUl3i1sa7I,Scientists Finally Make Gold From Ordinary Metal,2025-10-13T19:00:46Z
H400F5DyT1Y,Antarctica’s Secret Flight Ban - What’s Really Going On?,2025-10-13T17:18:31Z
KWhag1UOnPA,Mysterious Hole That Keeps Swallowing the Forest - No One Can Stop It,2025-10-13T14:00:39Z
kushOa0mfpY,He Found a Shark in an Abandoned Park,2025-10-13T00:12:40Z
saepUZAKy-o,Solve These Riddles And You're Probably an Undercover Genius,2025-10-13T00:01:03Z
tkqz9LY_hf0,New Statue Found on Easter Island - And Things Just Got Stranger,2025-10-12T23:01:03Z
da8csysIlzA,We Were Totally Wrong About Neanderthals,2025-10-12T19:00:26Z
AM3_Ym8dQx8,"Sleeping Fault in Canada Just Woke Up, And That’s Bad News",2025-10-12T17:00:12Z
Y4zYsEPDDNc,Archaeologists Found One of the Seven Wonders Beneath the Sea,2025-10-12T15:01:03Z
3FM-nM-dxpE,NYC Will Soon Have a Skyscraper Dangling from the Space,2025-10-12T11:00:06Z
dR7kgdLLAaQ,Archaeologists Find a City from the First Civilization of the Americas,2025-10-12T00:00:45Z
EYMbQ5QCAys,These Myths Sounded So True Until I Googled Them,2025-10-11T22:00:24Z
QDAtd-RHAis,"Huge Spiral Lit Up the Sky Over America, No One Could Explain It",2025-10-11T20:00:17Z
AWfniI2ygVQ,The Loch Ness Monster Wasn’t What We Thought — And Science Just Proved It,2025-10-11T18:00:09Z
7zgin3cR-fA,They Found Something Humanity Wasn’t Supposed to See,2025-10-11T16:25:32Z
-ZHPortn1sI,This Town in America Could Crash All the World’s Technology,2025-10-11T16:00:01Z
lsJZY8NLifQ,This Lake Can Cause a Disaster the World Has Never Seen,2025-10-11T13:01:28Z
QE4Os52vi2g,Secret Ocean Found Miles Below Earth’s Crust + Other Facts About Our Planet,2025-10-10T23:00:27Z
-0B-xhcJnvU,You Can’t Solve All 17 Riddles… Wanna Bet?,2025-10-10T20:00:01Z
APqv2C88i_Q,Common Bermuda Triangle Myths Busted by Science,2025-10-10T19:12:48Z
189dzy3foyo,Scientists Find the Most Venomous Sea Monster Ever,2025-10-10T18:00:02Z
sN71-_SQqOM,Ice Hole the Size of Switzerland Appears in Antarctica,2025-10-10T12:01:54Z
9xBixWoNObE,He Found a Shark in an Abandoned Park,2025-10-10T07:18:50Z
XhTBkMbUJwg,Something Is Racing Through Our Galaxy at Impossible Speed,2025-10-10T00:00:43Z
KuAfEesm6gY,3 Ships With Fates More Terrifying Than the Titanic’s,2025-10-09T22:00:24Z
qbNI5lm3Nks,Scientists Found a Way to Safely Enter a Black Hole,2025-10-09T17:01:16Z
NsxmtataTcI,"If You See These Lights Don't Wait, Take Cover!",2025-10-09T15:00:45Z
a_GcgC4MgF4,The Great Sphinx Has a Door No One Talks About - What’s Behind It,2025-10-09T12:25:41Z
LFyA7wG5LMo,Real Ship Mysteries Too Strange to Believe,2025-10-09T00:00:25Z
4SoVW9R0ijc,The Polar Vortex Caused Chaos in America|| Is It Getting Stronger?,2025-10-08T22:00:05Z
_5uHiHpvfzE,You’re One in a Million If You Have This Body Trait,2025-10-08T18:00:36Z
lLbdLj9jCaY,Only the Most Observant People Can Crack These Riddles,2025-10-08T14:01:16Z
bfN37qTrDWo,No One Can Explain This Hand in the Atacama Desert,2025-10-08T11:01:08Z
yYnlcRTBfV4,Your Body Has a Code You Didn’t Know About,2025-10-07T22:01:13Z
24QQqiYPB3c,Everyone Thought This Treasure Was Just a Legend… Until Now,2025-10-07T18:02:38Z
sdVlAaZo4MY,Nobody Wants to Live in These 9 US States - Here’s Why,2025-10-07T17:15:37Z
D7MZ1-ng_ho,There Might Be a Secret Planet Y Beyond Neptune,2025-10-07T08:00:14Z
jX2VT-yEXuk,Scientist Claims He Has Finally Solved the Bermuda Triangle Mystery,2025-10-07T00:01:01Z
8j96BbtT_qU,Truths About the Human Body That Shift Your View of Yourself,2025-10-06T22:00:11Z
I8E-ZRd0nM0,The Coolest Discoveries You Skipped While Checking Stories,2025-10-06T19:00:30Z
